User Story,Labels,Release
"Como um jogador, eu quero ver uma tela inicial clara para que eu possa escolher entre iniciar um novo jogo, ver placares ou consultar os controles.","`Type::Feature`, `Priority::High`, `Component::UI`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero ver uma tela de fim de jogo para que eu possa salvar minha pontuação, jogar novamente ou retornar ao menu principal.","`Type::Feature`, `Priority::High`, `Component::UI`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero que o jogo termine automaticamente para que eu saiba quando perdi todas as vidas ou quando os alienígenas alcançaram a base.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero mover minha nave horizontalmente para que eu possa desviar de ataques e posicionar-me para atirar nos inimigos.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero disparar lasers da minha nave para que eu possa destruir os alienígenas.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero que meu laser recarregue após cada disparo para que eu possa gerenciar meus ataques de forma estratégica.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero ver os alienígenas aparecerem na tela para que eu saiba quais inimigos preciso destruir.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero destruir os alienígenas com um único tiro para que eu possa limpar a tela e avançar no jogo.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero que os alienígenas se movam em bloco para que o jogo simule o comportamento clássico do Space Invaders.","`Type::Feature`, `Priority::Medium`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero que a dificuldade do jogo aumente gradualmente para que eu seja desafiado à medida que avanço.","`Type::Feature`, `Priority::Medium`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero que apenas certos alienígenas atirem para que eu possa identificar as ameaças principais.","`Type::Feature`, `Priority::Medium`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero ver um alienígena especial aparecer periodicamente para que eu possa ter a chance de ganhar pontos extras.","`Type::Feature`, `Priority::Medium`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero que os alienígenas não colidam com as barreiras para que a mecânica de proteção funcione corretamente.","`Type::Feature`, `Priority::Low`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero que novas ondas de inimigos apareçam para que o jogo continue após eu destruir uma onda completa.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero ter barreiras de proteção na tela para que eu possa me proteger dos tiros inimigos.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero ver minha pontuação atualizada na tela para que eu possa acompanhar meu desempenho.","`Type::Feature`, `Priority::High`, `Component::UI`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero ganhar pontos ao destruir inimigos para que eu possa aumentar minha pontuação total.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero ter um sistema de vidas para que eu possa saber quantas vezes posso ser atingido antes do fim do jogo.","`Type::Feature`, `Priority::High`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero ganhar uma vida extra ao atingir uma certa pontuação para que eu seja recompensado por um bom desempenho.","`Type::Feature`, `Priority::Medium`, `Component::Gameplay`, `Workflow::To Do`",Future Release
"Como um jogador, eu quero ouvir efeitos sonoros para as ações do jogo para que a experiência de jogo seja mais imersiva e responsiva.","`Type::Feature`, `Priority::Medium`, `Component::Audio`, `Workflow::To Do`",Release 1
"Como um jogador, eu quero que minhas pontuações mais altas sejam salvas para que eu possa competir comigo mesmo e com outros (hipoteticamente).","`Type::Feature`, `Priority::High`, `Component::Persistence`, `Workflow::To Do`",Future Release
